更新时间: 2025-11-12 01:47:31（北京时间）

更新时间,#genre#
2025-11-12 01:47:31,https://kakaxi-1.asia/LOGO/Disclaimer.mp4

央视频道,#genre#
CCTV1,http://121.56.186.21:4022/rtp/239.29.0.113:5000$内蒙古电信
CCTV1,http://115.211.60.198:8001/rtp/233.50.201.118:5140$浙江电信
CCTV2,http://121.56.186.21:4022/rtp/239.29.0.116:5000$内蒙古电信
CCTV2,http://115.211.60.198:8001/rtp/233.50.201.119:5140$浙江电信
CCTV3,http://121.56.186.21:4022/rtp/239.29.1.133:5000$内蒙古电信
CCTV3,http://115.211.60.198:8001/rtp/233.50.201.196:5140$浙江电信
CCTV4,http://121.56.186.21:4022/rtp/239.29.0.87:5000$内蒙古电信
CCTV4,http://115.211.60.198:8001/rtp/233.50.200.101:5140$浙江电信
CCTV4欧洲,http://121.56.186.21:4022/rtp/239.29.1.144:5000$内蒙古电信
CCTV4美洲,http://121.56.186.21:4022/rtp/239.29.1.142:5000$内蒙古电信
CCTV5,http://121.56.186.21:4022/rtp/239.29.1.134:5000$内蒙古电信
CCTV5,http://115.211.60.198:8001/rtp/233.50.200.108:5140$浙江电信
CCTV5,http://115.211.60.198:8001/rtp/233.50.201.194:5140$浙江电信
CCTV5+,http://121.56.186.21:4022/rtp/239.29.1.10:5001$内蒙古电信
CCTV5+,http://115.211.60.198:8001/rtp/233.50.201.220:5140$浙江电信
CCTV6,http://121.56.186.21:4022/rtp/239.29.1.135:5000$内蒙古电信
CCTV6,http://115.211.60.198:8001/rtp/233.50.200.109:5140$浙江电信
CCTV7,http://121.56.186.21:4022/rtp/239.29.0.117:5000$内蒙古电信
CCTV7,http://115.211.60.198:8001/rtp/233.50.200.102:5140$浙江电信
CCTV8,http://121.56.186.21:4022/rtp/239.29.1.136:5000$内蒙古电信
CCTV8,http://115.211.60.198:8001/rtp/233.50.201.116:5140$浙江电信
CCTV9,http://121.56.186.21:4022/rtp/239.29.0.118:5000$内蒙古电信
CCTV9,http://115.211.60.198:8001/rtp/233.50.200.23:5140$浙江电信
CCTV10,http://121.56.186.21:4022/rtp/239.29.0.119:5000$内蒙古电信
CCTV10,http://115.211.60.198:8001/rtp/233.50.200.22:5140$浙江电信
CCTV11,http://121.56.186.21:4022/rtp/239.29.0.205:5000$内蒙古电信
CCTV11,http://115.211.60.198:8001/rtp/233.50.200.132:5140$浙江电信
CCTV12,http://121.56.186.21:4022/rtp/239.29.0.120:5000$内蒙古电信
CCTV12,http://115.211.60.198:8001/rtp/233.50.200.21:5140$浙江电信
CCTV13,http://121.56.186.21:4022/rtp/239.29.1.123:5000$内蒙古电信
CCTV13,http://115.211.60.198:8001/rtp/233.50.200.97:5140$浙江电信
CCTV14,http://121.56.186.21:4022/rtp/239.29.0.121:5000$内蒙古电信
CCTV14,http://115.211.60.198:8001/rtp/233.50.200.103:5140$浙江电信
CCTV15,http://121.56.186.21:4022/rtp/239.29.0.206:5000$内蒙古电信
CCTV15,http://115.211.60.198:8001/rtp/233.50.200.133:5140$浙江电信
CCTV16,http://121.56.186.21:4022/rtp/239.29.1.146:5000$内蒙古电信
CCTV16,http://121.56.186.21:4022/rtp/239.29.1.149:5000$内蒙古电信
CCTV16,http://115.211.60.198:8001/rtp/233.50.201.63:5140$浙江电信
CCTV17,http://121.56.186.21:4022/rtp/239.29.1.145:5000$内蒙古电信
CCTV17,http://115.211.60.198:8001/rtp/233.50.200.113:5140$浙江电信
CCTV4K,http://115.211.60.198:8001/rtp/233.50.201.226:5140$浙江电信

卫视频道,#genre#
湖南卫视,http://121.56.186.21:4022/rtp/239.29.0.90:5000$内蒙古电信
湖南卫视,http://115.211.60.198:8001/rtp/233.50.201.103:5140$浙江电信
湖南卫视,http://115.211.60.198:8001/rtp/233.50.200.190:5140$浙江电信
湖南卫视,http://115.211.60.198:8001/rtp/233.50.202.106:5140$浙江电信
浙江卫视,http://121.56.186.21:4022/rtp/239.29.0.96:5000$内蒙古电信
浙江卫视,http://115.211.60.198:8001/rtp/233.50.200.231:5140$浙江电信
浙江卫视,http://115.211.60.198:8001/rtp/233.50.201.100:5140$浙江电信
浙江卫视,http://115.211.60.198:8001/rtp/233.50.200.145:5140$浙江电信
浙江卫视,http://115.211.60.198:8001/rtp/233.50.202.104:5140$浙江电信
江苏卫视,http://121.56.186.21:4022/rtp/239.29.0.102:5000$内蒙古电信
江苏卫视,http://115.211.60.198:8001/rtp/233.50.201.106:5140$浙江电信
江苏卫视,http://115.211.60.198:8001/rtp/233.50.200.144:5140$浙江电信
东方卫视,http://121.56.186.21:4022/rtp/239.29.0.97:5000$内蒙古电信
东方卫视,http://115.211.60.198:8001/rtp/233.50.201.125:5140$浙江电信
东方卫视,http://115.211.60.198:8001/rtp/233.50.200.146:5140$浙江电信
东方卫视,http://115.211.60.198:8001/rtp/233.50.202.105:5140$浙江电信
深圳卫视,http://121.56.186.21:4022/rtp/239.29.0.105:5000$内蒙古电信
深圳卫视,http://115.211.60.198:8001/rtp/233.50.201.101:5140$浙江电信
深圳卫视,http://115.211.60.198:8001/rtp/233.50.200.188:5140$浙江电信
深圳卫视,http://115.211.60.198:8001/rtp/233.50.202.102:5140$浙江电信
北京卫视,http://121.56.186.21:4022/rtp/239.29.0.108:5000$内蒙古电信
北京卫视,http://115.211.60.198:8001/rtp/233.50.201.107:5140$浙江电信
北京卫视,http://115.211.60.198:8001/rtp/233.50.200.179:5140$浙江电信
北京卫视,http://115.211.60.198:8001/rtp/233.50.202.100:5140$浙江电信
广东卫视,http://121.56.186.21:4022/rtp/239.29.0.123:5000$内蒙古电信
广东卫视,http://115.211.60.198:8001/rtp/233.50.200.187:5140$浙江电信
广东卫视,http://115.211.60.198:8001/rtp/233.50.200.126:5140$浙江电信
广东卫视,http://115.211.60.198:8001/rtp/233.50.200.149:5140$浙江电信
广东卫视,http://115.211.60.198:8001/rtp/233.50.201.102:5140$浙江电信
广东卫视,http://115.211.60.198:8001/rtp/233.50.202.101:5140$浙江电信
广西卫视,http://121.56.186.21:4022/rtp/239.29.1.57:5001$内蒙古电信
广西卫视,http://115.211.60.198:8001/rtp/233.50.200.136:5140$浙江电信
东南卫视,http://121.56.186.21:4022/rtp/239.29.0.103:5000$内蒙古电信
东南卫视,http://115.211.60.198:8001/rtp/233.50.201.146:5140$浙江电信
东南卫视,http://115.211.60.198:8001/rtp/233.50.200.135:5140$浙江电信
海南卫视,http://121.56.186.21:4022/rtp/239.29.1.126:5000$内蒙古电信
海南卫视,http://115.211.60.198:8001/rtp/233.50.200.165:5140$浙江电信
海南卫视,http://115.211.60.198:8001/rtp/233.50.200.62:5140$浙江电信
海南卫视,http://115.211.60.198:8001/rtp/233.50.201.55:5140$浙江电信
河北卫视,http://121.56.186.21:4022/rtp/239.29.0.124:5000$内蒙古电信
河北卫视,http://115.211.60.198:8001/rtp/233.50.201.140:5140$浙江电信
河北卫视,http://115.211.60.198:8001/rtp/233.50.200.105:5140$浙江电信
